rating,date,title,review
5,2021-07-29T07:08:45.000Z,Highly recommend!!,Open collages has been amazing to study through! Where i live didnt offer the course face to face so i had to go online (not my prefered method of study) but the trainers were amazing and super helpfull as was student support. They are understamding when life sometimes gets in the way and help you in whatever way they can! I would most definitely study through them again if i needed to! Highly reccomend
5,2021-07-27T02:35:26.000Z,All in all it was a great experience,"All in all it was a great experience, maybe l should have completed Cert 4 Community Services, before doing my Diploma.I found Rosan Lai wonderful and very helpful.I suggest to any one starting watch the webinars provided and attend module webinars they are really helpful.I wish they were their 2/12 years ago, you will find all the trainers, staff, staff support wonderful, l sure did."
5,2021-08-30T00:19:34.000Z,Really enjoyed my course in Marketing &…,"Really enjoyed my course in Marketing & Communications. I work in Marketing and I found all the information really beneficial to not only my day job but also  further enhanced my hard skills.  All the assessors, were so helpful and gave tangible feedback. My favourite assessor was Catherine Tumelty, she was warm and encouraging and provided valuable feedback."
5,2021-09-05T23:53:03.000Z,Excellent Photography and Photo Imaging Course,"I thoroughly enjoyed completing this online course at my own pace.  The support and guidance from the trainee, Sarah, was exceptional. Her feedback was professional and really helped with developing my knowledge, skills and confidence. The course content was thorough, interesting and covered many areas of photography. It was great! Thank you Open Colleges!"
5,2021-08-13T22:21:16.000Z,My Experience with Open Colleges,"My experience with Open Colleges has been amazing. I studied for my Diploma of Community Services. The course was challenging, but I learnt so much. I received amazing support and assistance from my assessor and student support whenever I required it. This has inspired me to consider doing further studies in the near future. I cannot thank Open Colleges enough."
1,2022-01-19T21:11:23.000Z,Beware.,"The level of support, although promised to be excellent, was rubbish. Many students were complaining that work hadnt been marked and returned. Having to wait for returned assessments before the next unit was ""unlocked"" makes the course longer. If you don't finish in time, you pay extra. Trying to withdraw from the course without paying out the full fees is near to impossible no matter your reasons. Luckily I had a solicitor and my repayment was reduced. People I've met say they're criminals! Beware."
5,2021-07-17T10:06:42.000Z,Very satisfied,This was the second time that I had chosen to complete a course with Open Colleges. I found the experience to be fantastic all of the support I needed was on hand. I found the feedback from each assessment to be clear and helpful. If I ever decide to continue studies in the future I would choose open colleges again. Thank You all so much for the experience and support.
5,2021-09-23T21:28:21.000Z,Cert IV in Ageing Support,"I enrolled in the Cert IV in Ageing Support. The course content was outstanding - very thorough- and the platform extremely user friendly, which is very important for on-line courses. My assessor was very experienced in the industry and very professional. Open Colleges maybe a bit more expensive than other on-line platforms, but well worth it."
5,2021-11-02T04:51:20.000Z,I find this college is excellent in education and training,"I find this college is excellent in teaching and educating students on the ways of the world and reality pertaining to the course area they choose to study. They have been very reasonable and accommodating with me, but firm, but fair. I believe this experience has been the best learning one so far and placement was an opportunity to learn, grow and implement into practice on a practical level. I highly recommend this institute to further your education and career prospects!"
5,2021-07-07T01:51:53.000Z,I was very happy to enroll myself in…,I was very happy to enroll myself in open colleges. The team specifically trainers and student support have been extremely helpful in every step of the way. The course content is quite extensive and enough material to use and refer back to. The quizzes and assessments at the end of each of the core modules has helped me a lot to summarize the overall learning.
5,2021-08-23T06:55:29.000Z,Amazing trainers and support staff,"The trainers and support staff are amazing.  Any query I had was responded to quickly and accurately.  The trainer who supervised my final live assessments was incredible.  Michelle was knowledgeable, friendly, encouraging and very reassuring.  I am very glad to have completed this course through Open Colleges and would recommend it to anyone."
1,2022-07-30T16:51:47.000Z,I couldn’t finish my course in the 1…,I couldn’t finish my course in the 1 year as I had to take care of my mother after her accident. Open Colleges wouldn’t allow me to extend my course but where quick to take my money. I would never recommend Open Colleges to anyone. Regret ever joining
3,2021-07-20T23:56:23.000Z,A lot of helpful trainers but also a…,A lot of helpful trainers but also a few not helpful at all with attitudes. The training material is generally helpful but not all are up to day. Some assessment questions are confusing. I can see the platform is progressing and improving. Overall experience is not easy but they help me to get there in the end. And they value feedbacks which is good.
5,2021-07-07T10:00:06.000Z,I had a great experience studying with…,"I had a great experience studying with OpenColleges. Assessors were fantastic. They gave me fruitful feedbacks and encouragement along the way. I really do learnt a lot from them. I cannot finish my studies without their help.I will definitely recommend (10/10) Open Colleges to my families and friends.From the bottom of my heart, ThANK you so much!"
5,2021-06-24T01:48:53.000Z,I really enjoyed studying with Open…,I really enjoyed studying with Open Colleges.I found the Trainers and Assessors went above and beyond on multiple occasions which exceeded my expectations a wonderful experience all round.I would encourage reaching out to get a study buddy as TA Webb said ‘A burden shared is a burden halved’I would definitely recommend studying with Open Colleges to anyone thinking of taking on studying as a career change or to further education.5 out of 5
3,2021-06-23T23:43:13.000Z,Unsatisfactory,"Overall the content was satisfactory although certain modules weren’t yet developed so i was waiting with no study for MONTHS to complete the course. This ultimately gave me a lack of motivation & loss of study drive. Not all trainers are helpful, only one actually replied to me regularly the others disregarded my messages. These few things are unacceptable when undertaking a course and this has lead me to not recommend open colleges to others."
1,2022-11-30T09:25:16.000Z,Don’t waste your money here,"They are great when they wanna sign you up then after that they don’t have time for you. So many issues. I’m doing aged care certification, they don’t tell you that you need 100% each assessment to pass and I have had assessor’s disagreeing with each others corrections causing me to waste a lot of time going back and forth. That’s actually if I get them looked at. I have waited months for assessments to be even looked at. Not to mention there are so many errors, spelling mistakes, incorrect information for current policies ( I work in aged care already so know some information is incorrect). This whole certificate is a waste of money and time you barely learn anything about aged care at all. You have to constantly chase to get things done and open space x is useless."
1,2021-06-24T08:24:03.000Z,I will never study through this place again,I don’t know what was worse: the ambiguous training material or the student support who kept giving conflicting information.I suggest you re-train and periodically test the people who are providing information to your students.I did not find the course worth the money (you cannot cancel and get a refund) or irritation that it caused me.
4,2021-09-07T02:25:24.000Z,I enjoyed studying marketing,Positives: I enjoyed learning about marketing and enjoyed the no pressure approach to get assessments done. It worked around my lifestyle and my job. Student support - great! I have also recently got a job in digital marketing.Negatives: sometimes assessors took a long time to mark my work so I couldn’t move on to next module and also some of the material in the course was really out of date. I’ve learnt more from doing some digital marketing crash courses outside of open colleges.
2,2021-08-15T08:50:43.000Z,Would not recommended,"Would not recommended.Though the process of self paced online learning was ideal, the lack of correspondence and delayed markings of assessments was poor and drawn out. The assessments themselves were poorly written and assessors would frequently ask for resubmissions even though the feedback was positive and they identified the outlined criteria had been met. After finishing the course months ago I am still waiting on certification, despite me following up on multiple occasions."
4,2021-07-01T00:28:17.000Z,The course was good and the assessors…,"The course was good and the assessors were great.  I did struggle with some of the activities throughout the modules having incorrect information or answers, which caused some stress when trying to work out what I was doing wrong (which was nothing).Time given to complete the course was appropriate and support was there if needed."
5,2022-04-22T05:13:05.315Z,Done and Dusted! Diploma of Community Services,"No road is as easy as the other. Today I can proudly say ""Done and Dusted! The journey has not been smooth waters but getting the right kind of support and help was a great motivation to always look forward to the ending. I would like to say my big thank you to Rosan (Trainer/Assessor). He has been very helpful all along. I finally completed my Diploma of Community Services. I can't be thankful enough. With the pandemic, it has not been easy, however, perseverance was the key motivation for me to reach this far. Thank you Open Colleges and to all the support staff."
4,2021-07-23T22:12:21.000Z,All in all a great experience,"All in all a great experience, however at the end waiting for a transcript I paid for. I was informed I had to provide another first aid certificate as your course certificates can not be sent without a valid one. Given that first aid is a whole.module I believe the module should be moved to further into the course to avoid such problems at the end. I didn't receive an email or be told this had to happen until I called a week later asking where my transcript was. Very frustrating!"
5,2021-08-04T01:01:36.000Z,hi i found the course easy to navigate…,"hi i found the course easy to navigate and , all the instructions were clear and easy to follow.the time frame set was achievable ,however due to circumstances i needed to extend which they were happy to assist with.over all i really enjoyed my expierence with open colleges and would be happy to say to use this site."
1,2022-05-14T16:37:51.000Z,Thieves!!,"Thieves!!! I wish I could give open colleges a big fat zero stars! I did a certificate IV in vet nursing. Finished all my written modules with high distinctions and credits, however struggled to find a practice that would allow me to do my training portion, due to the fact open colleges do not have insurance and do not tell you this. Open colleges were no help in assisting me to find somewhere. After paying over $5000 they would not even Provide me with a transcript or statement of attainment for the work I’d completed to use as a credit transfer. Expect no help from these people."
4,2021-07-16T02:15:45.000Z,Diploma of Community Services experience,"Overall good experience, interesting course material. Assessors helpful, though not very detailed feedback for assessments which would be useful for academic growth. Student services pretty average, often needed to call / email follow up several times to get things sorted. Despite this, I still recommend Open Colleges."
1,2021-09-13T08:01:24.000Z,I gave 1 star because 0 was not an…,I gave 1 star because 0 was not an option. I finished my course nearly 3 months ago and am still waiting for my graduation certificate and final 100% completed. There was no support when it was needed and assessments took over 30 days to be marked. I will never study with OC again or recommend them to anyone.
4,2021-10-19T05:57:12.000Z,I thoroughly enjoyed the challenge of…,I thoroughly enjoyed the challenge of learning online and found the Open Colleges team very supportive and helpful. It did take me much longer to complete the Diploma of Community Service than I thought it would but that was due to the pandemic which made finding Work Placement so much harder.It takes perseverance and diligence to complete an online study and Open Colleges are there for you if you need support with academic or other issues.I would recommend Open Colleges as it is an affordable way to upskill.
1,2021-10-07T08:17:48.000Z,Cancellation fee is your course fee!!!!,"I hope no one ever has to cancel or put your course on hold, they've made it impossible to cancel or put on hold even if you are doing an online course or have any actual health problems. They harass and force you to pay the whole course fee as a cancellation fee whether or not you're financially stable."
5,2022-07-27T04:38:51.000Z,"Being someone with high anxiety, the support from my assessor has made this course a breeze!!","I commenced my Diploma in 2019 and have since experienced hurdles I did not expect in my personal life.I started placement in February 2022 and due to unforeseen personal circumstances had to delay it until June. Open Colleges have been nothing but supportive while I have been unable to study, and with the hurdles throughout placement- they have been very accommodating to issues I was having within my placement organization.My WPA assessment was much more relaxed, and less nerve racking than I thought it would be, my assessor provided me with a lot of information and extra knowledge for me to apply in further study and work."
5,2021-09-16T22:40:08.000Z,I enjoyed the journey till the end,I enjoyed the journey till the end. The different modules were well explained and had good resources which helped me in studying . The assessors were great and very supportive and were approachable.I also had a lot of help from  student support whenever I had enquiries which made it really easy for me.
5,2021-07-21T01:04:32.000Z,Open Colleges provides support and guidance.,Open Colleges trainers and student support team were absolutely fabulous and supportive.  Help was always available when needed.The course and materials were set out so they could be easily understood.I would completely recommend Open Colleges.Thank you Open Colleges for all the support throughout my course.
3,2021-08-17T12:40:57.000Z,I am very relieved I finished,"I am very relieved I finished, although I do feel the course was much harder than I thought. Questions that should have been made simple where written in a complicated formate requiring you answering in a more personalised context. The work placement I felt was a bit over the top but in the end I got there."
1,2021-06-30T02:21:54.000Z,DO NOT STUDY WITH THEM,"DO NOT STUDY WITH THEMGo to Tafe insteadTerrible grammar in the material and  out of date information, when i showed qualified professionals the course material they laughed it was so badThe qualification will not recognized in the real world and i just dont understand how they are still allowed to be open"
1,2021-09-26T09:49:53.000Z,irrelevant and a waste of money,"The assessment questions for the youth work cert IV are regularly very poorly worded, often confusing and seem to have not been proof read.I found the course generally to be utterly irrelevant to finding work in the field, and the response times to questions was very poor.DO NOT WASTE YOUR MONEY"
3,2021-09-14T23:19:29.000Z,I struggled,"The assessments were good. I learnt a lot from them and they were clear and easy to understand. The placement was a problem though. I found it so difficult to get placement and I had no help from Open Colleges. I was told I would get help, so I filled out some forms, only to have someone do google searches which I had already done myself. I found there was a very high turnover of staff which was frustrating. I believe I only got through this course because of the help I got from Rosan. Thanks Rosan for all you did for me"
5,2021-08-12T22:42:57.000Z,Open Colleges was excellent,"Open Colleges was excellent. The online delivery was easy to utilise, course content provided was extensive and whenever I  required assistance, the trainers or student support were always there to provide help. I would definitely recommend Open Colleges should someone be considering online learning."
5,2021-09-10T02:58:28.000Z,The assessor's feedback were very…,"The assessor's feedback were very helpful in the completion of my course. Though most of the time I hesitated asking questions because I think it's dumb, like ""it's simple and I should know the answer"", but asking them and receiving the clarification from the assessors makes the projects easier."
1,2021-10-21T01:29:07.000Z,Totally ripped off,"I enrolled in a course and didn’t complete it. I think I read one article and then changed my mind and never logged in again. They still charged me in full - $8000+ Total rip off and waste of hard earned money. They just see dollars, couldn’t care less if you actually get a qualification."
1,2021-08-12T03:01:29.000Z,Terrible Experience,Just graduated in a diploma of business after such a stressful time dealing with them!College support team is somewhat helpful however the assessments are poorly written and most assessors are way too harsh and add things to the assessment that is not in the criteria. Also an upfront fee of $30 to resubmit an assessment that was poorly written in the first place is ridiculous! Especially during these tough times.Would not recommend taking up a course with them. Would definitely steer clear and go with another college.
1,2021-07-20T23:19:35.000Z,I have paid for my course in full…,"I have paid for my course in full upfront. I have been working on an assignment and have been struggling with one question. I submitted it two times and received little guidance or feedback. The answer to the question wasn’t even anything that was covered in the information notes we were given. I worked out what was required and finished the assignment. When I went to submit it, I was told I had to pay $30 to do so. This is a ridiculous money making scheme. No notifications where given this would happen and just very annoying!"
4,2021-08-11T22:43:33.000Z,My experience with Open Colleges have…,"My experience with Open Colleges have been great, I would definitely recommend the only downfall is not having the assistance right then and there. MAybe if there was Assessors available over chat for students to ask questions that would make the studying experience much more less stressful"
4,2022-07-13T08:47:09.000Z,Great educational experience,"I originally signed up during the pandemic as I figured there was no better time to start then when forced to stay home and looking for where I wanted to move forward in life. Due to the nature of being online, you definitely need to be self dedicated and it is easy to loose motivation, but there are multiple avenues of support should it be required. Connecting with study buddies, booking in faculty phone calls etc. Throughout my course I gained work experience which quickly lead to part time employment and then full time employment where I have now been employed for over a year in a job I love. Very glad I found open colleges and this course."
1,2022-03-19T09:18:42.000Z,Beware,"Beware! There are some fantastic online study options and this is not one of them, as many others have said, medical evidence is not enough to stop them pursuing thousands of dollars, there are petitions and suggestions of legal action against Open Colleges."
4,2021-07-21T04:18:00.000Z,The placement activities were too much…,The placement activities were too much and my work supervisor thought it was over the top for dual cert 1V. (AOD & Mental Health) I had a lot of trouble catching her to read and sign documents. Apart from that the course had excellent information and I’m glad I completed it. Julie Waldock
5,2022-08-10T01:58:28.000Z,I have completed my course the online…,I have completed my course the online content was very helpful and up to date the online assessment walk throughs were very helpful and the assessor`s were fantastic and very helpful making the course an enjoyable experience.
4,2021-07-09T00:30:21.000Z,Horticulture was great.,While I found recording videos for the presentations daunting at first the course was very good. The trainers were incredibly supportive and I was able to get an extension on the duration. George and Amy were fantastic and incredibly helpful. I’ve learned a lot more than I expected to.
5,2021-12-08T02:41:06.000Z,Diploma of Community Services,"I did a Diploma of Community Services with OC. I found them to be very compassionate and understanding. When I was unable to complete the course before the expiry date, they provided me with 3 months extension for free. The student support and assessors are very good."
4,2021-08-11T21:11:56.000Z,I found the course worthwhile.,"I found the course worthwhile.Modules 1 to 7 assessments were thoroughThe workplace 120 hour activity invaluable. The log form requires review reflecting the move to capture the experience in the portfolio not the many tables at the end of the activity log.I think the portfolio is in some places a bit fulsome. Given the student has completed at this point the theory (modules 1 to 7) and the practicality (120 of actual support work), I'm unclear on why the portfolio has to be such a large document to complete. I think it could be more fit for purpose."
1,2021-08-16T01:17:49.000Z,Open colleges seemed like a great…,"Open colleges seemed like a great course when I first enrolled. Well it wasn’t as time went on. The little communication between the workplace assessor, sometimes it took weeks just to hear back from them. The grading took forever I waited over a month at times. Then to find out I have to finish to pay for the course before I get my certificate, is just not on. I was told my the workplace assessor that it would take a month for them to send it out. It has been 3 months. I wouldn’t recommend open colleges to anyone. And it was definitely not worth the $6,000"
4,2022-05-18T04:42:03.000Z,The course has been very helpful.,The course has been very interesting and helpful in my line of work. I have learned some key techniques and strategies that will help in my service delivery. The Assessor was very helpful and quick to respond to any questions/requests.
5,2021-08-31T22:34:57.000Z,Fantastic!,"I had a great experience with open colleges and completing my course. It was great being able to do the work at my own pace and completing it early.I found the course work straight forward, the assessors were easy to contact and fast with their advice. Even when signing on to do the course I had full understanding and support from them, helping me understand what course i would need for the sort of job I could see myself in.By the end of my work placement I was fully employed in the career I was studying!Totally recommend and would definitely do a course with them again."
4,2021-09-29T23:40:30.000Z,Opencollege is a good platform to study…,"Opencollege is a good platform to study at your own pace at any time that works for you, but until you meet a supportive assessor that will guide and assist you through the journey, especially if you have never studied online, then you are on your own."
5,2021-09-24T03:24:56.000Z,I highly recommend open Colleges,I highly recommend open Colleges I have just graduated my certificate 3 nail technology.it was an amazing course my trainer Ellena was wonderful she was always there when I needed and the student support was also wonderful.I can’t recommend enough
4,2021-08-24T23:19:54.000Z,Easy to use and understand what needs…,"Easy to use and understand what needs to be done to complete modules.The layout of the site is good, only issue is that it crashed a couple of times and I had to wait for modules to be unlocked.Overall very happy with the course, thanks very much!"
4,2021-08-31T03:55:02.000Z,Cert IV Accounting and Bookkeeping,"I really enjoyed my course. Openspace was easy to navigate and the assessors and support team were friendly and helpful. You need to have self discipline, studying online, but there are really useful tools, in Openspace, to help keep you on track"
