star,date,title,review
5 out of 5 stars,2023-03-05T10:00:45.000Z,Excellent RTO(s) than TAFE NSW,"Open College (100%) fits with my study needs & very self paced non stressful environment. The Staff was really easily to handle over the phone and the trainer itself. I have study at TAFE digital, thier serivces wasn't very pleasant to learn, very emotionally stressed out constantly and very high demanding & Teachers doesn't know what they are doing most of the time.Open College Portal (Open Space X) is very simple and easily to navigate with a click of q button. had podcast, Intractive video and quiz.To be Honest, paying for Open College is an investment toward me career. I recommend this RTO provider, if it is within your allocated budget."
1 out of 5 stars,2023-03-04T11:26:08.000Z,Not worth it,"Quite dissatified with the RTO, cost for the cert 4 was way too much better of goin to tafe. Completed this cert in 2020 but only recieved my cert 2023"
1 out of 5 stars,2023-03-02T13:30:38.000Z,Computer Programmer,"Paid my money to them for a course in programming ($3000) and had nothing but trouble. Absolutely no support, in fact when you did ask for help it took them a week to answer you. The support worker that was to support me was on holiday for 3 weeks. In the end I stopped paying them, which they then threatened me we legal action and I was left out of pocket and left me with nothing. Be very aware of this company."
1 out of 5 stars,2023-02-23T02:43:13.000Z,Don’t study with them.,"Do not study with them. Minimal support, changed coursed half way through and wouldn’t credit modules that were done. In placement and changed assessments could provide assessments for work placement.Do not waste your money and time with them."
1 out of 5 stars,2023-02-22T23:05:51.000Z,disappointed in the whole course,"I have recently been transitioned over to the upgraded version of my course. Prior to this happening there was zero check in from the teaching staff to see how I was going with the course. You would only ever hear from the teaching staff when you submitted an assignment and they provided your result and feedback. I contacted student support many times to find out information only to be given incorrect information every single time. I was even told by Student Support that there was weekly webinars for my course - this I know to be incredibly wro... Read moreng as there was no link to weekly webinars anywhere on the learning system and the last thing to be uploaded was in 2018. Not to mention all course content was out of date and written incredibly poorly. 
I have now been transitioned over to the upgraded version of the course along with the new OpenSpaceX learning system. I am unable to access any of the interactive course content through the learning system as I keep getting notifications that the openspace website is refusing to connect. How am I meant to successfully complete my course if I cannot access the content. I would also like to point out that the blogs I am required to review are not hyperlinked nor is the URL listed so that is now more course content I am unable to access. Yu have removed the ability to email the teaching staff from the new learning system so my only option is to contact Student Support who are inadequately trained and wouldn't have a clue with what is going on. The ability to online chat with anyone has been temporarily disconnected so even if i wanted to speak to Student Support through that avenue, I cant. and when you try to contact Student Support via the phone you receive a automated message saying all staff are in a meeting and then the line is cut. I work for a TAFE and we would never have the phone lines completely unmanned. This gives an incredibly bad student experience. 
This whole experience has been extremely frustrating and disappointing. You feel like you are completely on your own with no contact from the school, using incomplete content and hoping like crazy you will be able to successfully complete the course with non existent content and incorrect information.  
Open Colleges, do better!!"
1 out of 5 stars,2022-11-24T22:19:12.000Z,Waste of time and money - Cert 4 in Allied Health Assistance,"They don't mark your assessments on time, they don't answer your emails on time, the links to the videos on the content are for the most part unavailable and I even got marked down on an assignment for using a term that was in their own course material. That they claim the term was outdated...on their own material!!Then they give you no help what so ever in getting work placement. Even when I work in a hospital and have a willing supervisor they don't have the proper approvals to cover me in a government hospital so then have told me to wait m... Read moreonths for the approvals to come through (that I'm paying for with no extension) or to go find another location. When I have done everything they asked for to get my work placement, they put the blame back on me when they are found to be incompetent. 
DO NOT FOR ANY REASON GIVE THESE PEOPLE MONEY."
1 out of 5 stars,2022-11-22T01:41:48.000Z,"ZERO STARS IF POSSIBLE! Great at lying, take your money and run the other way","I started the Diploma in Social Media Marketing in 2020 as I was really interested in the field. When I spoke to Troy about signing up, I remember on the phone, he mentioned that if I wasn't enjoying the particular course or my interests changed, I could transfer to a different one but continue paying the original course amount. However, this was a lie as I was told I cannot do this.In 2021 I started to feel the course was boring, it was not challenging and it was all very simple learning. I learn best with a challenge and this just did not o... Read moreffer that. The information was basic, the videos were boring and overall, it was just a simple course, did not feel like a diploma and I was not enjoying it. 

I originally asked if I could cancel my course and pay out some sort of fees for cancelling, I explained my situation and how I found the course boring and to quote their very words from Vanita: ""Sometimes, students ask to transfer because they find the course difficult or have fallen behind due to personal issues. We understand that online study can be challenging at times and it takes dedication and determination to stay motivated"" - I found this response extremely offensive, especially after I explained my reasoning and they were to say my determination was lacking basically, when that was not true. I know how to study online as I completed majority of my high school and all of my VCE via distance education, so I know the drill to online learning.

After many emails back and forth, I eventually got them to cancel my course and pay a very small fee. 
I ran for the hills after this and I will NEVER study with Open Colleges again.
Their administration team are very offensive, robotic and have no sympathy for any of their students. They take your money and make it extremely hard to get out of it. Even when larger universities and colleges ALLOW you to change subjects, what makes Open Colleges different? 

Pathetic company, do yourself a favour and do NOT study with them."
1 out of 5 stars,2022-11-10T03:39:41.000Z,"Lies,No Compassion or Empathy",Studying for 4monthsOne phone call 2 messagesPersonal circumstances changed which impeded my ability to study. Special Considerations have no compassion or empathy for their students. Got changed 40% to cancel course for my limited contact with trainers. Also found out that course is being updated which they knew before I signed on and I get told they can't validate my diploma unless I finish early.WHAT A JOKE . Money grabbing scheme with no help from anyone
1 out of 5 stars,2022-11-02T05:16:31.000Z,Rip off and unsupporting,"I was only online using the course for 3 months.  I have not been back on since December last year, which they have access to.After weeks of attempting to cancel the course due to extreme personal circumstances.  I was finally permitted to end the course.  But have now been charged a fee of $6587 to exit.  Absolute greed mungers ... Do not sign up !!!"
4 out of 5 stars,2022-10-29T01:57:08.000Z,Makes learning POSSIBLE.,The course is not difficult.Course material is not self explanatory but Assistance is available.
1 out of 5 stars,2022-10-28T04:24:54.000Z,Avoid at all costs!,"I'm still scarred from my experience of opencolleges and tell everyone I possibly can to stay away.I was doing my cert.3 in dental nursing and it was a nightmare from the start. The content was just links to  youtube videos and incredibly broad and poorly detailed information on the subject, for the first month I spent more time on google looking up subject matters to get clarification than the content open colleges supplied. They mentioned on their information page that they help you get placements as it's a requirement for the course, so whe... Read moren I requested help for placements the answer I received from the person over the phone was 'we don't help you get placements, but instead you give us the names and contact information of the businesses you've been to who've rejected the placement request and we'll keep hassling them on your behalf until they let you in'. Great support, give my name a bad reputation, harass businesses and call that help. 
I lost my job and ended up in a pretty serious mental health state due to my mother receiving a cancer diagnosis so I decided it was in my best interest to withdraw form the course through the 'financial hardship and special considerations' pathway. In this option it states that you need a letter from you doctor describing the mental health issues you're having and why it's necessary for me to withdraw. I ended up getting THREE different medical certificates from my doctor, including the medications I was taking (incredibly violating to request that information) and each time they rejected the letters saying there wasn't enough detail and even suggesting that the letters were fraudulent. When I told the woman over the phone that the accusations and process was becoming so stressful that it was causing me to have suicidal thoughts she said 'that's not my problem'. Which yeah I get, it's not your problem, but have a heart. I had to pay for the whole course because opencolleges ignored my requests and barely responded or answers my calls unless I hounded them constantly.
Avoid avoid avoid! Go somewhere else, I still shocked they're running with the amount of bad reviews and lawsuits they've received. 
I've moved on from the experience and I'm happy and healthy, but I will always alert people about how terrible this place is."
5 out of 5 stars,2022-10-27T23:15:11.000Z,The experience is worthwhile,"Initially I was pretty overwhelmed with all the course content. But i came across the assessment walkthroughs that helped me put course theory into practical.The Diploma is amazing and I would recommend Open Colleges to anyone that is seeking to move ahead in their career progression or even seeking on job training. The online learning, although may seem daunting, is actually quite easy and very well supported by the trainers."
1 out of 5 stars,2022-10-27T03:52:09.000Z,Dishonest and not very upfront of cancelation fees. Unethical business practices. A big Trap to take your money,Disappointed and will never accept call from sale person (fake enrollment officer) to discuss about the cancellation and refund.  Before 3 months refund is load of crap.  Unethical business practices. First time to know this trashy business exist in Australia. After 8 days in the course they ask you to give 40% of course payment to exit according to their condition.
5 out of 5 stars,2022-10-26T03:11:15.000Z,What an experience!,"I cannot believe that I have just completed my first course in Australia. The road has been long but the feeling of completing it is so satisfying. I did this course because i wanted to pursue a career in community services and earn more money, but i have learned a lot about myself and others. My relationship with the people around me has improved because of this course. Thanks to my trainer Rosan who ensured that I understand each module through walkthroughs videos and audios, repetition and examples."
1 out of 5 stars,2022-10-24T16:51:10.000Z,Horticulture Cert II- what a joke.,"If I could rate a 0 I would.I needed a break from my usual after been burnt out from my last job. I feel in love with plants and thought doing this course would be great.It’s been 18months of hell.I live in Vic and spent months and months on end in lockdown. Making it hard to do assignments and complete the coursework. Not once was this acknowledged by the trainers or staff at open colleges. Not until a few months ago. But that’s a few months to late.The cost, stress and absurd work load has been enough to send my mental health sky r... Read moreocking. 
The service and trainers are appalling. I can never book a time with trainees because of their limited time frames and some of us work. I studied a diploma in youth work and this doesn’t come close to the piles and piles of absurd demands from there workload. Even after they finally assisted and gave me an course extension it’s to late. I still don’t know if I’m going to get it done  and honestly i haven’t felt like such a failure than how this course has made me feel."
5 out of 5 stars,2022-10-24T00:47:49.000Z,I had  great experience learning under my trainer Dorina. I did Certificate III in Dental Nurse,I am very satisfied with the course I did with open college. I had a very helpful trainer her name is Dorina. She makes herself available for all her students anytime. She has so much patience and understanding to her students. I enjoyed learning under her.
5 out of 5 stars,2022-10-19T07:48:26.000Z,Completing diploma of community services through opencolleges,"I was firstly concerned about doing a course online, but I can't recommend opencolleges enough you are very supported in your studies and help you in any way they can. I was worried I didn't have the time to study with 3 young children but I was wrong I completed my course before the 2 year timeframe easy. Thanks Emily Ellis"
5 out of 5 stars,2022-10-19T05:27:22.000Z,24 months well spent,"i was absolutely satisfied got the right support needed while doing my course.the college is very supportive for wmoen with children,the long road is come to an end..It is very rewarding as i already got a job in Case management at near completion of my course,"
4 out of 5 stars,2022-10-18T00:59:15.000Z,My Diploma of Community Services experience,"When I looked at studying I saw a ‘Diploma of Community Services’ and thought, what’s that? I cannot believe that I went from not knowing what Community Services was to now graduating with a Diploma in it! I just want to encourage future students, especially those who are contemplating doing this or are already doing it, DON’T GIVE UP! I experienced a lot of set backs during my studies (pandemic, health issues, difficulty finding placement, all whilst caring for my two young children with disabilities). I felt like giving up at one stage, but a... Read morell it took was one person to say they believed in me. Well I believe in YOU! I went from being a stay-at-home mum for years, to now a graduate working in the industry as a team leader! The biggest reward from all of this is seeing my children’s faces light up when telling others that my mum helps people for work, I want to do mums job when I am older! This has changed not only my life but my children’s. Thank you Open Colleges - especially Rosan."
5 out of 5 stars,2022-10-17T04:43:35.000Z,24 months of a lifetime experience and skills!!!,"It was definitely a roller coaster due to Covid and personal commitments , coming from a different background and different perspective on diversity I am happy to say I am grateful for the opportunity, it was a very rewarding experience especially during the workplacement. A life long experience and a fortune if skills ."
4 out of 5 stars,2022-10-11T01:54:38.000Z,Diploma of community services,"This was such a long but amazing journey for me, I wanted to give up so many times, but my teacher supported me along the way, sent me helpful materials etc"
5 out of 5 stars,2022-10-10T01:29:13.000Z,Open Colleges Diploma of Community Services,I have nearly completed my Diploma and am really happy with all the hard work I put in.I am a single mum on low income in my 50's and found it really challenging during Covid lockdowns. I didn't realize how capable I was until now. I did find in the beginning that I was not sure if I would complete the course but persevered.  I have gained a lot of knowledge and cannot wait to get out into the workforce and utilize my skills. I found it difficult to get work placement but once I reached out to OC they supported me and helped me find an amazing... Read more place. Here I learnt so much about myself and others.  Placement hours are only 160 and it went really quick. The course notes and assessments are pretty self-explanatory. The walkthrough webinars are brilliant as Rosan really explains how to go about the assessments quite clearly. I recommend OC for anyone.  Thank you
2 out of 5 stars,2022-10-06T04:39:07.000Z,Disappointed with lack of support in passing the course,"I enrolled for the certificate 4 Veterinary Nursing course twice because the first time I couldn't complete the work placement due to debilitating illness. I had paid upfront and could not get any refunds even though I had evidence of my medical issues. I tried again a few years later (and paid the full fees again) and was so determined to finish the course. I worked my butt off through the mountains of theory and assessments and un-paid work placement in clinics but burned out about 3 quarters of the way through.It is too much work to do all... Read more on your own with no support. I did placement in 2 clinics, one used me for unpaid labour then fired me to hire a qualified nurse, and the other clinic hired me as a trainee vet nurse, stuck me on reception and banned me from accessing any equipment in the hospital area to do my assessment training. Then Covid hit and I could not find placement in another clinic. My course expired and by that stage I had lost so much confidence in ever finishing the course that I didn't pay the extension fee.. The student support was unhelpful and I had no support from the clinic I was in and it all felt impossible. 
I called today to try and resume where I left off and was informed that the course had been discontinued and I cannot complete it! What a waste of time and effort and such a waste of money. I am so disappointed and still unqualified and now cannot even finish the course!! I do not recommend this college at all. They'll take your money but are not invested in you completing the course at all. My feeling is they discontinued the Vet Nursing course because of the low completion rate."
4 out of 5 stars,2022-10-04T07:48:04.000Z,Pleasantly Surprised,"I was very satisfied with the assortment of topics covered in the Community Services Diploma and it provided a good overview of the industry. I would recommend they add additional information regarding law proceedings (which many community members face) but there was a plethora of information specific to counselling methods. Start early on applying for Work Placement, left mine till the last minute and it was stressful."
5 out of 5 stars,2022-10-04T02:05:04.000Z,open collages,I was very satisfied with the open collages course I found it easy to use and complete
1 out of 5 stars,2022-10-02T00:37:06.000Z,Buyer beware,This college in my experience has been exceptionally disappointing. They have a great sales team so you feel the experience will be positive but sadly is is not. The online content is basic and does not provide very much of the required information for assessments. Some of the links in the online learning and also in the assessments are broken.  Assessor response time takes more then 10 days. You would get conflicting feedback if you had different assessors. One would tell you an answer is correct and another would tell you it wasn't and make y... Read moreou resubmit. If you did not meet satisfactory marks you had to PAY EXTRA TO RESUBMIT which they only stated after you signed up. One assessor repeatedly issues resubmit grades and did not provide assistance when asked to do so. Any support is offered by student support who are just administration and have no industry experience.
1 out of 5 stars,2022-10-01T08:06:10.000Z,Beware of the costs when they don’t assess your content on time,My daughter started a animal studies course. Beware the extra costs that they charge due to lack of assessor’s to assess the work and things out of your control.
4 out of 5 stars,2022-09-28T10:38:10.000Z,Certificate Level Course,I found throughout that the course that the Assessors were very prompt in marking and returning my submitted work.  Appreciated the feedback given on work I submitted from the Assessors.  The course material was what I would expect from a Certificate level course.  The pandemic and lockdowns made placement harder to access and having a job quite tricky.
1 out of 5 stars,2022-09-26T04:15:34.000Z,Disgusted with service,"Absolutely digusted with OC, they so quick to take your money, I requested to terminate my course just after the 7 day period when I  was advised it was 30 days and they wanted to take 40% of the course fee. I haven't even started the course.When I sent an email and left a voice mail message and no one bothered to respond or return my call. When I got a hold of someone, they very rude and arrogant.Now I've been advised I need to put a complaint form & can't even speak to anyone about it !To make matters worse, i put a complaint in via email as that's the only option and as if things are not bad enough, the process can take up to 15 business days !!DO NOT GO WITH OPEN COLLEGES !"
1 out of 5 stars,2022-09-22T01:49:28.000Z,This organisation is such a scam - Don't waste your time and money,"The assessments are very unfairly marked, and then you will be asked to pay a fee to resubmit. Some of the course content is over a decade old and is no longer relevant at all. The majority of the links on the course pages no longer even exist. There are spelling mistakes in every second paragraph, they did not even bother to run a spell check before publishing the course. Student support is close to non-existent, you will be waiting several weeks for a reply to an inquiry. This organisation only cares about attempting to milk as much money as they possibly can from students."
1 out of 5 stars,2022-09-08T23:57:20.000Z,Sent to Debt Collector without supplying proof of payment,"I was provided a final notice for an amount, 6 months after I cancelled my course. I requested proof of payment. I was told they had reviewed a telephone conversation where I had told them I had not cancelled. I disagreed and requested proof, including a transcript of the conversation. I requested over an 18 months period. No response was given and my email and phone were blocked. I have now been sent to a debt collector, still without proof of the required payment.  It is clear that it is a scam for money"
1 out of 5 stars,2022-09-07T07:56:12.000Z,This never ends!,I lost my job within the 2 month period and repeatedly tried to cancel but never got a response. Went through special considerations for financial hardship and was told it would be cancelled as I didn’t want a refund of the payments already made and haven’t accessed the content for a year now. Today receive a debt collection bill. Not just for my own bill but also someone else’s.  A serious breach of the privacy act in sending someone else’s personal details and financial information.
2 out of 5 stars,2022-09-06T07:10:03.000Z,Please save your money and time.,"This college in my experience is such a scam. Assessor response time takes more then 10 days. For each and everything I had to call student support over and over again. Which was no help at all. Finding placement was such a challenge and zero support provided by the college. Choosing open colleges was such a waste of 2 years. I would not recommend it to any one. Please save you money and go Via Tafe if you can. All I had to do was pay for extension over extension.The study material was very basic. If I learned anything was via the placement... Read moreand from the support of my placement supervisor. 

Its been nearly over 3 weeks since I have submitted my portfolio and have no heard back regarding the certificate. I still have to keep contacting student support with no outcome.

Edit: After getting in touch with the team of open colleges from here, my issues was resolved within a day.
I would like to thanks to the person who speed up the process soon as I messaged them form here."
5 out of 5 stars,2022-09-05T05:37:13.000Z,Well Worth it.,The assistance I got from my Assessor was fantastic. She always responded to every question and concern and got me through the course.
4 out of 5 stars,2022-08-31T09:12:37.000Z,The beautiful experience to study through OC,The support i received fro OC was amazing and the trainers were fantastic. Everytime you have a question or anything cannot get through they have been there to support. For me being a mom of 3 kids and part time worker as a Carer to put myself through OC to achieve a Diploma is a mile stone and if you believe in yourself and put your mind to it. You can move the mountains easily. Rosan you have been the rock on mu studies. Thank you for all the support from the OC Team.
1 out of 5 stars,2022-08-30T04:55:28.000Z,Waste of time and of money,"I did my part and finished 2 months ago, but I still have no certificate. My Trainer vanished, didn't do her job, nobody contacted me. I have to chase them and it takes forever. very disappointing."
5 out of 5 stars,2022-08-30T03:04:18.000Z,Was a SAVER for a single mum with zero support system.,I was very satisfied.Very easy to go through and complete.
4 out of 5 stars,2022-08-22T09:55:30.000Z,Great Experience,"I am very satisfied with the teaching and course content. I found the course informative and on a scale from one to ten in difficulty a five. However I found the Placement written instruction quite confusing, inconsistent, and frustrating."
5 out of 5 stars,2022-08-19T00:46:13.000Z,AMAZING company to study through,"I was worried starting an online course as I have had bad experiences in the past but everyone I’ve made contact with through open colleges have been nothing but amazing and so supportive. The feedback is helpful and it keeps you motivated in studying. From the beginning call you sign up, to submitting and getting my grades I have been very blessed with support. Tom and Nicole are so lovely."
5 out of 5 stars,2022-08-18T00:02:36.000Z,Great experience,"Extremely happy, I always received help straight away when I asked."
1 out of 5 stars,2022-08-15T07:02:07.000Z,Poor customer service and delayed certificate,I have been waiting for my certificate for a long time now despite following up and no action (no one cares to replies emails). I was being told to check my junk mail as an excuse to delay the process. I could not talk to the person (Joshua) who was following my case because Rozelle didn't see the need for me to do that. Rozelle made sure I can't talk to anyone. I don't trust the college.
5 out of 5 stars,2022-08-09T04:21:27.000Z,Great experience,I was very satisfied with my overall experience with open collages the assessors were always helpful and replyed to my emails in a timely manner. The open collages portal is easy to use and has a sufficient amount of learning materials and walk throughs of each assessment. The course seemed a bit over whelming at first but i successfully completed the course with support from my assessor and other students.
5 out of 5 stars,2022-08-03T23:59:29.000Z,Great course to learn at your own pace,"The course wasn't difficult, you just need to put the hours in. I completed the modules in 3-months and completed the work placement in 4-weeks."
4 out of 5 stars,2022-08-03T21:33:10.000Z,Great Course,"I found this course to be practicle, realistic & informative. Having many years of real experiance in management, I still found plenty of new learnings throughout the course. I am confident it has improved my my management & leadershipmstyle."
5 out of 5 stars,2022-08-03T03:43:31.000Z,Diploma of Community Service,"I have found the resources and help invaluable.  I did work placement and the support was fantastic.  Video module support amazing, assessment walkthroughs a great help!  The online platform easy to navigate and help at hand when I needed it.  Thank you for making this process educational and relevant with up to date resources."
1 out of 5 stars,2022-07-31T20:31:31.000Z,DO Not go with Open Colleges,The course was repetitive on most questions. Some links didn’t work. Course content was good but there was one particular tutor who was setting you up to fail.If you did not meet satisfactory marks you had to PAY EXTRA TO RESUBMIT which they only stated after you sign up !!!
5 out of 5 stars,2022-07-27T02:36:41.000Z,Wonderful support from my assessor,"I commenced my Diploma in 2019 and have since experienced hurdles I did not expect in my personal life.I started placement in February 2022 and due to unforeseen personal circumstances had to delay it until June. Open Colleges have been nothing but supportive while I have been unable to study, and with the hurdles throughout placement- they have been very accommodating to issues I was having within my placement organization.My WPA assessment was much more relaxed, and less nerve racking than I thought it would be, my assessor provided me with a lot of information and extra knowledge for me to apply in further study and work."
1 out of 5 stars,2022-07-24T05:47:44.000Z,"Terrible company - Don't bother, go somewhere else!","I began my course during the first sets of lockdowns in Melbourne. Throughout my whole course I had only spoken to staff who were rude, unhelpful and inconsiderate. The staff never offered any solutions to the problems that I had raised. Due to the lockdowns, I was unable to complete the work placement. As they say need proof of trying, I provided this and they still neglected to help. I then had to extend my course under special consideration for this (after arguing with multiple people that I shouldn't have to pay extra each month as it was a... Read more pandemic and financial issues). It took me multiple times to submit this and still did not get a response. After calling them, I found out they didn't reply because I needed to submit an extra documentation to support the lockdowns impacting placement. Yes, no one replied because it needed more documentation, for around a month, even though multiple staff had seen the email. My course had expired in this time as well. This was not the first time I had not been responded to as well. I spoke to one of the girls there who had told me that, and told me the extra document I needed and said I would get a response within 2 business days. I asked her 3 times to give me an accurate answer of how long I will be waiting and she promised it would be 2 business days as it is now an active case. Of course I didn't believe her. It was also a long weekend and I understand some people work part-time or had the extra day off. So I ended up giving her over a week (personal things came up and I could not call before hand, but I did try to email). I ended up calling them when I got a spare minute and was greeted by a guy, who told me she wasn't working and asked what the situation was. This guy is the only helpful person in this entire company, managers included. He processed my whole special extension, and gave me an extra month on top of it within 10 minutes. So this girl had 2 weeks roughly to do what this guy did within 10 minutes. That girl is an accurate representation of all the staff and their work ethic (excluding this boy). I do have the names of all these staff, however I will not name them for privacy reasons. After trying for a while to find places for work placement and getting knocked back, simply due to being with Open Colleges, I was able to get my workplace to allow me to count my work towards work placement. I submitted my claim and was waiting for approval. I kept checking and asking for updates, and of course, no response. I knew my course extension was coming to an end (only had enough + a bit extra to cover work placement to begin with) and applied for special consideration for extra time again, as all i'm waiting for is the to approve the workplace. Well by time I submitted the special consideration, I was not longer able to do it there. So that month of me waiting could have been used to finish my work placement fully, instead of waiting. I had sent multiple emails (their student support call line was only open during my work times) and still no response. Finally the other day I was able to talk to someone on live chat as my course expired and I have been waiting weeks for a response, once again. Well they told me that they don't do anything about following up on work placement approvals, and that its up to the company you are doing it with to accept the one email they send that he said always goes to junk mail. Firstly, thats just lazy, but secondly, I had sent multiple questions asking about it and again, no one could tell me that?? so again, horrible, lazy work ethic. On the contrary, I also did ask my workplace, who had no idea about the email. I had also asked him for an update on my special extension, which he said they no longer do (which I believe he is lying or if he is not, goes into the horrible company) and yet again, no one told me this or anything during the time waiting for a response. I had asked him for a management contact details and he refused but told me they will be into contact with me, which was supposed to be after a few days. He also sent me a complaint form to fill out. Im still waiting for management to email me and yet I don't think they will honestly. So save your time and go somewhere else, even if it means paying more money. Because of the staff not wanting to communicate or do anything remotely helpful, I am not able to get my certificate and wasted my money here. Throughout everything I had been nice to them, but they don't care how nice or rude you are. Im not sure if these are the company's policies and procedures or a result of lazy work ethic, but either way, save your time, money and stress.

Also - It might say nationally recognised, but If you are looking to go into a government agency, I would look into if it is recognised as it is not in some states, even though it says it is. I was luckily enough to secure a position in a government role with no qualifications needed, however I cannot move up until I complete another diploma of the same course that is recognised to them or a Bachelor (currently now having to do!). A lot of other people have had this issue, so be careful."
5 out of 5 stars,2022-07-21T05:51:09.000Z,Felt supported,"Felt supported during my study, all the walkthroughs were really valuable"
5 out of 5 stars,2022-07-20T05:24:58.000Z,Fantastic course,"Teaching and content was excellent, tutor support was great which has made undertaking the course very enjoyable."
1 out of 5 stars,2022-07-20T01:46:07.000Z,"Inconsiderate, and rude.","Despite me being unable to complete the course due to my childrens medical issues deteriorating dramatically (provided them with letters from specialists) , they still demanded I pay and threaten me with debt collectors."
