star,date,title,review
1,18-03-2023,don't waste your money scam,i am stuck studying the diploma of counselling i submitted my very last assessment on the  december  it is now  march  and haven't heard from anyone this is when in thier own policy states assessments are marked within  days i've sent emails to facilitators and student support only to fall on deaf ears this institution just wants your money as when your about to qualify they go to ground i also made a formal complaint through the institution again falling on deaf ears i have now made a formal complaint through austral read moreian skills and quality authority due to the non existent support also dont hold your breath if you have to do work placement they pretend to help by asking for an application but do nothing we get taught to do assessment plans perhaps this college needs to learn how to do management plans as its appalling the main and only assessor is in the uk while there is a backlog of assessments continous smoke and mirrors and no action what is the college doing to rectify this nothing do this diploma through aipc or a selected university with good reviews
5,15-03-2023,open college is the way to start your studies,honestly dorina my teacher has made my learning experience very easy and stress free i dont think i would be able to complete the course without her helpthe over all course of my certificate iii in dental assisting was very informative and had easy accesssupport team was always there when needed and where very helpfuldefinitely would do a course with open colleges again
1,14-03-2023,unprofessional people worst college,if i can rate it lower than  star i will the course is  yrs instead of  months the course coordinator is not helpful if you defer though youre done with the module she will still ask you to attend the class again not practical i suggest do uni than study with them or enrol elsewhere theory can be done online with other colleges
1,10-03-2023,they don't really care about their duty of care you are just  to them,i was about to get a job as a student support officer at stride learning i would have also chosen to study with them if i had known about them before i started with open college i was doing really well for the first  weeks and hit a stumbling block i reached out for help and was given a very vague response the expectations of some of the assignments are not clear and it is hard to find more information on what is expected i then go covid then found a new job part of the reason i chose to start studying  i chose the new job over the st read moreride learning job stride learning during the interview stated that they call people after two weeks of no progress they talk them through any issues and strive to have zero dropouts for any other reason than those that are compassionate and compelling i got one email that looked like an advertisement after  weeks of not doing anything didn't get anything else no emails no phone calls to offer support until i asked to withdraw from the course i tried to complain and state that if they had followed their duty of care and called me earlier like in july or august i may have been able to either complete the assignment or withdraw from it earlier and be able to get more money back than i am getting now i missed the october cutoff because of their lack of care stay away
5,05-03-2023,excellent rtos than tafe nsw,open college  fits with my study needs  very self paced non stressful environment the staff was really easily to handle over the phone and the trainer itself i have study at tafe digital thier serivces wasn't very pleasant to learn very emotionally stressed out constantly and very high demanding  teachers doesn't know what they are doing most of the timeopen college portal open space x is very simple and easily to navigate with a click of q button had podcast intractive video and quizto be honest paying for open college is an investment toward me career i recommend this rto provider if it is within your allocated budget
5,08-12-2022,excellent,i started my diploma  years ago and just completed it when i started i have a  year old and through the time i completed the diploma i had my second child the flexibility of studying online has been great ros has been an excellent support throughout the process
1,06-12-2022,star rating if it was possible,i applied to do a cert  in animal studies but heard and read bad reviews on open colleges  days later i called to cancel as i thought it was a horrible course to do especially if i was going to get scammed the tcs for cancelling were not made clear to me and now have to pay for something that i didn't even do my friends went through the same thing and i have read many reviews similar to mine do not recommend open colleges waste of time money and sanity
5,02-12-2022,fantastic,enrolling myself in the diploma and heading down the online path was daunting at first especially juggling work and kids but i was pleasantly surprised how user friendly the whole course has been the course content is easy to follow and manage you do need good time management and motivation to stay on track however the student support has been fantastic helpful tip use the assessment walkthroughs they will be your life saver
5,24-11-2022,very happy with the course and trainers,i just completed certificate iii in dental assissting and would definitely recommend iti truly enjoyed this course i appreciated how the support and motivation  from the trainersthe trainers and assessors were fantastic especially dorina iancu  very knowledgeable and willing to answer questions as they came up
1,24-11-2022,waste of time and money  cert  in allied health assistance,they don't mark your assessments on time they don't answer your emails on time the links to the videos on the content are for the most part unavailable and i even got marked down on an assignment for using a term that was in their own course material that they claim the term was outdatedon their own materialthen they give you no help what so ever in getting work placement even when i work in a hospital and have a willing supervisor they don't have the proper approvals to cover me in a government hospital so then have told me to wait m read moreonths for the approvals to come through that i'm paying for with no extension or to go find another location when i have done everything they asked for to get my work placement they put the blame back on me when they are found to be incompetent do not for any reason give these people money
1,22-11-2022,zero stars if possible great at lying take your money and run the other way,i started the diploma in social media marketing in  as i was really interested in the field when i spoke to troy about signing up i remember on the phone he mentioned that if i wasn't enjoying the particular course or my interests changed i could transfer to a different one but continue paying the original course amount however this was a lie as i was told i cannot do thisin  i started to feel the course was boring it was not challenging and it was all very simple learning i learn best with a challenge and this just did not o read moreffer that the information was basic the videos were boring and overall it was just a simple course did not feel like a diploma and i was not enjoying it i originally asked if i could cancel my course and pay out some sort of fees for cancelling i explained my situation and how i found the course boring and to quote their very words from vanita sometimes students ask to transfer because they find the course difficult or have fallen behind due to personal issues we understand that online study can be challenging at times and it takes dedication and determination to stay motivated  i found this response extremely offensive especially after i explained my reasoning and they were to say my determination was lacking basically when that was not true i know how to study online as i completed majority of my high school and all of my vce via distance education so i know the drill to online learningafter many emails back and forth i eventually got them to cancel my course and pay a very small fee i ran for the hills after this and i will never study with open colleges againtheir administration team are very offensive robotic and have no sympathy for any of their students they take your money and make it extremely hard to get out of it even when larger universities and colleges allow you to change subjects what makes open colleges different pathetic company do yourself a favour and do not study with them
1,10-11-2022,liesno compassion or empathy,studying for monthsone phone call  messagespersonal circumstances changed which impeded my ability to study special considerations have no compassion or empathy for their students got changed  to cancel course for my limited contact with trainers also found out that course is being updated which they knew before i signed on and i get told they can't validate my diploma unless i finish earlywhat a joke  money grabbing scheme with no help from anyone
1,02-11-2022,rip off and unsupporting,i was only online using the course for  months  i have not been back on since december last year which they have access toafter weeks of attempting to cancel the course due to extreme personal circumstances  i was finally permitted to end the course  but have now been charged a fee of  to exit  absolute greed mungers  do not sign up
4,29-10-2022,makes learning possible,the course is not difficultcourse material is not self explanatory but assistance is available
1,28-10-2022,avoid at all costs,i'm still scarred from my experience of opencolleges and tell everyone i possibly can to stay awayi was doing my cert in dental nursing and it was a nightmare from the start the content was just links to  youtube videos and incredibly broad and poorly detailed information on the subject for the first month i spent more time on google looking up subject matters to get clarification than the content open colleges supplied they mentioned on their information page that they help you get placements as it's a requirement for the course so whe read moren i requested help for placements the answer i received from the person over the phone was 'we don't help you get placements but instead you give us the names and contact information of the businesses you've been to who've rejected the placement request and we'll keep hassling them on your behalf until they let you in' great support give my name a bad reputation harass businesses and call that help i lost my job and ended up in a pretty serious mental health state due to my mother receiving a cancer diagnosis so i decided it was in my best interest to withdraw form the course through the 'financial hardship and special considerations' pathway in this option it states that you need a letter from you doctor describing the mental health issues you're having and why it's necessary for me to withdraw i ended up getting three different medical certificates from my doctor including the medications i was taking incredibly violating to request that information and each time they rejected the letters saying there wasn't enough detail and even suggesting that the letters were fraudulent when i told the woman over the phone that the accusations and process was becoming so stressful that it was causing me to have suicidal thoughts she said 'that's not my problem' which yeah i get it's not your problem but have a heart i had to pay for the whole course because opencolleges ignored my requests and barely responded or answers my calls unless i hounded them constantlyavoid avoid avoid go somewhere else i still shocked they're running with the amount of bad reviews and lawsuits they've received i've moved on from the experience and i'm happy and healthy but i will always alert people about how terrible this place is
5,27-10-2022,the experience is worthwhile,initially i was pretty overwhelmed with all the course content but i came across the assessment walkthroughs that helped me put course theory into practicalthe diploma is amazing and i would recommend open colleges to anyone that is seeking to move ahead in their career progression or even seeking on job training the online learning although may seem daunting is actually quite easy and very well supported by the trainers
1,27-10-2022,dishonest and not very upfront of cancelation fees unethical business practices a big trap to take your money,disappointed and will never accept call from sale person fake enrollment officer to discuss about the cancellation and refund  before  months refund is load of crap  unethical business practices first time to know this trashy business exist in australia after  days in the course they ask you to give  of course payment to exit according to their condition
5,26-10-2022,what an experience,i cannot believe that i have just completed my first course in australia the road has been long but the feeling of completing it is so satisfying i did this course because i wanted to pursue a career in community services and earn more money but i have learned a lot about myself and others my relationship with the people around me has improved because of this course thanks to my trainer rosan who ensured that i understand each module through walkthroughs videos and audios repetition and examples
1,24-10-2022,horticulture cert ii what a joke,if i could rate a  i wouldi needed a break from my usual after been burnt out from my last job i feel in love with plants and thought doing this course would be greatits been months of helli live in vic and spent months and months on end in lockdown making it hard to do assignments and complete the coursework not once was this acknowledged by the trainers or staff at open colleges not until a few months ago but thats a few months to latethe cost stress and absurd work load has been enough to send my mental health sky r read moreocking the service and trainers are appalling i can never book a time with trainees because of their limited time frames and some of us work i studied a diploma in youth work and this doesnt come close to the piles and piles of absurd demands from there workload even after they finally assisted and gave me an course extension its to late i still dont know if im going to get it done  and honestly i havent felt like such a failure than how this course has made me feel
5,24-10-2022,i had  great experience learning under my trainer dorina i did certificate iii in dental nurse,i am very satisfied with the course i did with open college i had a very helpful trainer her name is dorina she makes herself available for all her students anytime she has so much patience and understanding to her students i enjoyed learning under her
5,19-10-2022,completing diploma of community services through opencolleges,i was firstly concerned about doing a course online but i can't recommend opencolleges enough you are very supported in your studies and help you in any way they can i was worried i didn't have the time to study with  young children but i was wrong i completed my course before the  year timeframe easy thanks emily ellis
5,19-10-2022,months well spent,i was absolutely satisfied got the right support needed while doing my coursethe college is very supportive for wmoen with childrenthe long road is come to an endit is very rewarding as i already got a job in case management at near completion of my course
4,18-10-2022,my diploma of community services experience,when i looked at studying i saw a diploma of community services and thought whats that i cannot believe that i went from not knowing what community services was to now graduating with a diploma in it i just want to encourage future students especially those who are contemplating doing this or are already doing it dont give up i experienced a lot of set backs during my studies pandemic health issues difficulty finding placement all whilst caring for my two young children with disabilities i felt like giving up at one stage but a read morell it took was one person to say they believed in me well i believe in you i went from being a stayathome mum for years to now a graduate working in the industry as a team leader the biggest reward from all of this is seeing my childrens faces light up when telling others that my mum helps people for work i want to do mums job when i am older this has changed not only my life but my childrens thank you open colleges  especially rosan
5,17-10-2022,months of a lifetime experience and skills,it was definitely a roller coaster due to covid and personal commitments  coming from a different background and different perspective on diversity i am happy to say i am grateful for the opportunity it was a very rewarding experience especially during the workplacement a life long experience and a fortune if skills
4,11-10-2022,diploma of community services,this was such a long but amazing journey for me i wanted to give up so many times but my teacher supported me along the way sent me helpful materials etc
5,10-10-2022,open colleges diploma of community services,i have nearly completed my diploma and am really happy with all the hard work i put ini am a single mum on low income in my 's and found it really challenging during covid lockdowns i didn't realize how capable i was until now i did find in the beginning that i was not sure if i would complete the course but persevered  i have gained a lot of knowledge and cannot wait to get out into the workforce and utilize my skills i found it difficult to get work placement but once i reached out to oc they supported me and helped me find an amazing read more place here i learnt so much about myself and others  placement hours are only  and it went really quick the course notes and assessments are pretty selfexplanatory the walkthrough webinars are brilliant as rosan really explains how to go about the assessments quite clearly i recommend oc for anyone  thank you
2,06-10-2022,disappointed with lack of support in passing the course,i enrolled for the certificate  veterinary nursing course twice because the first time i couldn't complete the work placement due to debilitating illness i had paid upfront and could not get any refunds even though i had evidence of my medical issues i tried again a few years later and paid the full fees again and was so determined to finish the course i worked my butt off through the mountains of theory and assessments and unpaid work placement in clinics but burned out about  quarters of the way throughit is too much work to do all read more on your own with no support i did placement in  clinics one used me for unpaid labour then fired me to hire a qualified nurse and the other clinic hired me as a trainee vet nurse stuck me on reception and banned me from accessing any equipment in the hospital area to do my assessment training then covid hit and i could not find placement in another clinic my course expired and by that stage i had lost so much confidence in ever finishing the course that i didn't pay the extension fee the student support was unhelpful and i had no support from the clinic i was in and it all felt impossible i called today to try and resume where i left off and was informed that the course had been discontinued and i cannot complete it what a waste of time and effort and such a waste of money i am so disappointed and still unqualified and now cannot even finish the course i do not recommend this college at all they'll take your money but are not invested in you completing the course at all my feeling is they discontinued the vet nursing course because of the low completion rate
4,04-10-2022,pleasantly surprised,i was very satisfied with the assortment of topics covered in the community services diploma and it provided a good overview of the industry i would recommend they add additional information regarding law proceedings which many community members face but there was a plethora of information specific to counselling methods start early on applying for work placement left mine till the last minute and it was stressful
5,04-10-2022,open collages,i was very satisfied with the open collages course i found it easy to use and complete
1,02-10-2022,buyer beware,this college in my experience has been exceptionally disappointing they have a great sales team so you feel the experience will be positive but sadly is is not the online content is basic and does not provide very much of the required information for assessments some of the links in the online learning and also in the assessments are broken  assessor response time takes more then  days you would get conflicting feedback if you had different assessors one would tell you an answer is correct and another would tell you it wasn't and make y read moreou resubmit if you did not meet satisfactory marks you had to pay extra to resubmit which they only stated after you signed up one assessor repeatedly issues resubmit grades and did not provide assistance when asked to do so any support is offered by student support who are just administration and have no industry experience
1,01-10-2022,beware of the costs when they dont assess your content on time,my daughter started a animal studies course beware the extra costs that they charge due to lack of assessors to assess the work and things out of your control
4,28-09-2022,certificate level course,i found throughout that the course that the assessors were very prompt in marking and returning my submitted work  appreciated the feedback given on work i submitted from the assessors  the course material was what i would expect from a certificate level course  the pandemic and lockdowns made placement harder to access and having a job quite tricky
1,26-09-2022,disgusted with service,absolutely digusted with oc they so quick to take your money i requested to terminate my course just after the  day period when i  was advised it was  days and they wanted to take  of the course fee i haven't even started the coursewhen i sent an email and left a voice mail message and no one bothered to respond or return my call when i got a hold of someone they very rude and arrogantnow i've been advised i need to put a complaint form  can't even speak to anyone about it to make matters worse i put a complaint in via email as that's the only option and as if things are not bad enough the process can take up to  business days do not go with open colleges
1,22-09-2022,this organisation is such a scam  don't waste your time and money,the assessments are very unfairly marked and then you will be asked to pay a fee to resubmit some of the course content is over a decade old and is no longer relevant at all the majority of the links on the course pages no longer even exist there are spelling mistakes in every second paragraph they did not even bother to run a spell check before publishing the course student support is close to nonexistent you will be waiting several weeks for a reply to an inquiry this organisation only cares about attempting to milk as much money as they possibly can from students
1,08-09-2022,sent to debt collector without supplying proof of payment,i was provided a final notice for an amount  months after i cancelled my course i requested proof of payment i was told they had reviewed a telephone conversation where i had told them i had not cancelled i disagreed and requested proof including a transcript of the conversation i requested over an  months period no response was given and my email and phone were blocked i have now been sent to a debt collector still without proof of the required payment  it is clear that it is a scam for money
1,07-09-2022,this never ends,i lost my job within the  month period and repeatedly tried to cancel but never got a response went through special considerations for financial hardship and was told it would be cancelled as i didnt want a refund of the payments already made and havent accessed the content for a year now today receive a debt collection bill not just for my own bill but also someone elses  a serious breach of the privacy act in sending someone elses personal details and financial information
2,06-09-2022,please save your money and time,this college in my experience is such a scam assessor response time takes more then  days for each and everything i had to call student support over and over again which was no help at all finding placement was such a challenge and zero support provided by the college choosing open colleges was such a waste of  years i would not recommend it to any one please save you money and go via tafe if you can all i had to do was pay for extension over extensionthe study material was very basic if i learned anything was via the placement read moreand from the support of my placement supervisor its been nearly over  weeks since i have submitted my portfolio and have no heard back regarding the certificate i still have to keep contacting student support with no outcomeedit after getting in touch with the team of open colleges from here my issues was resolved within a dayi would like to thanks to the person who speed up the process soon as i messaged them form here
5,05-09-2022,well worth it,the assistance i got from my assessor was fantastic she always responded to every question and concern and got me through the course
4,31-08-2022,the beautiful experience to study through oc,the support i received fro oc was amazing and the trainers were fantastic everytime you have a question or anything cannot get through they have been there to support for me being a mom of  kids and part time worker as a carer to put myself through oc to achieve a diploma is a mile stone and if you believe in yourself and put your mind to it you can move the mountains easily rosan you have been the rock on mu studies thank you for all the support from the oc team
1,30-08-2022,waste of time and of money,i did my part and finished  months ago but i still have no certificate my trainer vanished didn't do her job nobody contacted me i have to chase them and it takes forever very disappointing
5,30-08-2022,was a saver for a single mum with zero support system,i was very satisfiedvery easy to go through and complete
4,22-08-2022,great experience,i am very satisfied with the teaching and course content i found the course informative and on a scale from one to ten in difficulty a five however i found the placement written instruction quite confusing inconsistent and frustrating
5,19-08-2022,amazing company to study through,i was worried starting an online course as i have had bad experiences in the past but everyone ive made contact with through open colleges have been nothing but amazing and so supportive the feedback is helpful and it keeps you motivated in studying from the beginning call you sign up to submitting and getting my grades i have been very blessed with support tom and nicole are so lovely
5,18-08-2022,great experience,extremely happy i always received help straight away when i asked
1,15-08-2022,poor customer service and delayed certificate,i have been waiting for my certificate for a long time now despite following up and no action no one cares to replies emails i was being told to check my junk mail as an excuse to delay the process i could not talk to the person joshua who was following my case because rozelle didn't see the need for me to do that rozelle made sure i can't talk to anyone i don't trust the college
5,09-08-2022,great experience,i was very satisfied with my overall experience with open collages the assessors were always helpful and replyed to my emails in a timely manner the open collages portal is easy to use and has a sufficient amount of learning materials and walk throughs of each assessment the course seemed a bit over whelming at first but i successfully completed the course with support from my assessor and other students
5,03-08-2022,great course to learn at your own pace,the course wasn't difficult you just need to put the hours in i completed the modules in months and completed the work placement in weeks
4,03-08-2022,great course,i found this course to be practicle realistic  informative having many years of real experiance in management i still found plenty of new learnings throughout the course i am confident it has improved my my management  leadershipmstyle
5,03-08-2022,diploma of community service,i have found the resources and help invaluable  i did work placement and the support was fantastic  video module support amazing assessment walkthroughs a great help  the online platform easy to navigate and help at hand when i needed it  thank you for making this process educational and relevant with up to date resources
1,31-07-2022,do not go with open colleges,the course was repetitive on most questions some links didnt work course content was good but there was one particular tutor who was setting you up to failif you did not meet satisfactory marks you had to pay extra to resubmit which they only stated after you sign up
5,27-07-2022,wonderful support from my assessor,i commenced my diploma in  and have since experienced hurdles i did not expect in my personal lifei started placement in february  and due to unforeseen personal circumstances had to delay it until june open colleges have been nothing but supportive while i have been unable to study and with the hurdles throughout placement they have been very accommodating to issues i was having within my placement organizationmy wpa assessment was much more relaxed and less nerve racking than i thought it would be my assessor provided me with a lot of information and extra knowledge for me to apply in further study and work
1,24-07-2022,terrible company  don't bother go somewhere else,i began my course during the first sets of lockdowns in melbourne throughout my whole course i had only spoken to staff who were rude unhelpful and inconsiderate the staff never offered any solutions to the problems that i had raised due to the lockdowns i was unable to complete the work placement as they say need proof of trying i provided this and they still neglected to help i then had to extend my course under special consideration for this after arguing with multiple people that i shouldn't have to pay extra each month as it was a read more pandemic and financial issues it took me multiple times to submit this and still did not get a response after calling them i found out they didn't reply because i needed to submit an extra documentation to support the lockdowns impacting placement yes no one replied because it needed more documentation for around a month even though multiple staff had seen the email my course had expired in this time as well this was not the first time i had not been responded to as well i spoke to one of the girls there who had told me that and told me the extra document i needed and said i would get a response within  business days i asked her  times to give me an accurate answer of how long i will be waiting and she promised it would be  business days as it is now an active case of course i didn't believe her it was also a long weekend and i understand some people work parttime or had the extra day off so i ended up giving her over a week personal things came up and i could not call before hand but i did try to email i ended up calling them when i got a spare minute and was greeted by a guy who told me she wasn't working and asked what the situation was this guy is the only helpful person in this entire company managers included he processed my whole special extension and gave me an extra month on top of it within  minutes so this girl had  weeks roughly to do what this guy did within  minutes that girl is an accurate representation of all the staff and their work ethic excluding this boy i do have the names of all these staff however i will not name them for privacy reasons after trying for a while to find places for work placement and getting knocked back simply due to being with open colleges i was able to get my workplace to allow me to count my work towards work placement i submitted my claim and was waiting for approval i kept checking and asking for updates and of course no response i knew my course extension was coming to an end only had enough  a bit extra to cover work placement to begin with and applied for special consideration for extra time again as all i'm waiting for is the to approve the workplace well by time i submitted the special consideration i was not longer able to do it there so that month of me waiting could have been used to finish my work placement fully instead of waiting i had sent multiple emails their student support call line was only open during my work times and still no response finally the other day i was able to talk to someone on live chat as my course expired and i have been waiting weeks for a response once again well they told me that they don't do anything about following up on work placement approvals and that its up to the company you are doing it with to accept the one email they send that he said always goes to junk mail firstly thats just lazy but secondly i had sent multiple questions asking about it and again no one could tell me that so again horrible lazy work ethic on the contrary i also did ask my workplace who had no idea about the email i had also asked him for an update on my special extension which he said they no longer do which i believe he is lying or if he is not goes into the horrible company and yet again no one told me this or anything during the time waiting for a response i had asked him for a management contact details and he refused but told me they will be into contact with me which was supposed to be after a few days he also sent me a complaint form to fill out im still waiting for management to email me and yet i don't think they will honestly so save your time and go somewhere else even if it means paying more money because of the staff not wanting to communicate or do anything remotely helpful i am not able to get my certificate and wasted my money here throughout everything i had been nice to them but they don't care how nice or rude you are im not sure if these are the company's policies and procedures or a result of lazy work ethic but either way save your time money and stressalso  it might say nationally recognised but if you are looking to go into a government agency i would look into if it is recognised as it is not in some states even though it says it is i was luckily enough to secure a position in a government role with no qualifications needed however i cannot move up until i complete another diploma of the same course that is recognised to them or a bachelor currently now having to do a lot of other people have had this issue so be careful
5,21-07-2022,felt supported,felt supported during my study all the walkthroughs were really valuable
5,20-07-2022,fantastic course,teaching and content was excellent tutor support was great which has made undertaking the course very enjoyable
1,20-07-2022,inconsiderate and rude,despite me being unable to complete the course due to my childrens medical issues deteriorating dramatically provided them with letters from specialists  they still demanded i pay and threaten me with debt collectors
1,16-07-2022,avoid open college,their marking is so behind educators are resigning when u emailed course coordinator no reply very bad system should be reported to department of education my cohort and other cohort are behind marking for  months they dont care just about money money money
4,13-07-2022,a good flexible educational experience,i originally signed up during the pandemic as i figured there was no better time to start then when forced to stay home and looking for where i wanted to move forward in life due to the nature of being online you definitely need to be self dedicated and it is easy to loose motivation but there are multiple avenues of support should it be required connecting with study buddies booking in faculty phone calls etc throughout my course i have gained full time employment in a job i love very glad i found open colleges and this course
4,05-07-2022,support staff,i completed my diploma this year but needed support to get my rpl approved the team went the extra mile to assist me in getting this process completed for which i am extremely thankful for
1,05-07-2022,never study through them again,not great collage and didnt get much support at all basically did the whole thing on my own and i find i havent learnt very much at all having a deadline that needs extended but there not helping me so i can finish in time
4,30-06-2022,a good educational experience,it was initially hard to get started but the content was shown to be very relevant once i started my work placement and the staff were always very helpful when i had questions or needed support
1,27-06-2022,upsetting,i attempted to study with open colleges when i was  only to become homeless not long after and unable to continue study i messaged my course advisor this and i never heard back from the college i didn't get a refund not that that's the principle but he nor did anyone else contact me after this that was it now at  and looking to study the course again i will not go through open colleges
5,26-06-2022,course review,i found some of the content repetitive and there were a number of links that weren't working some of the questions in assignments were hard to decipher what was being asked however the walkthroughs mostly helped to clarify these issues overall i was happy with the teaching  my assessor rosan was very accessible and got back to me quickly he was supportive and encouraging when i was finding it hard to stay motivated i didn't think the course was difficult
1,25-06-2022,there isnt a  stars option take the average review score and lower by,teaching resources were outdated and not always functionalthe course shouldnt have been difficult but was made more so by the lack of communication phased out modules only given days notice even if half way through inability to ask assessors questions or feedback when a question was answered often weeks later it was nonsensical or didnt address the core query at all or just plain wrong it was a mess and while i obviously dont recommend anyone enrol i would actively try to convince people not to go to tafe
